amount,log_amount,hour_of_day,day_of_week,is_fraud
4189.27,8.34052,14,2,0
2659.71,7.886348,13,1,0
784.0,6.665684,10,0,0
3514.4,8.164909,23,5,0
369.07,5.913692,18,4,0
3086.22,8.035026,1,4,0
1466.9,7.291588,11,1,0
917.21,6.822426,12,6,0
1625.73,7.394327,2,3,0
662.07,6.496881,6,1,0
3895.94,8.267947,17,5,0
944.94,6.852179,16,1,0
2855.69,7.957419,2,5,0
4313.82,8.369811,13,6,0
4599.06,8.433825,9,5,0
1524.05,7.329782,6,5,0
2721.95,7.909471,22,3,0
1357.76,7.214328,23,6,0
4726.01,8.461048,6,3,0
1814.95,7.504364,1,1,0
269.8,5.601381,11,4,0
512.1,6.240471,17,5,0
2932.64,7.983999,22,5,0
1177.11,7.071667,18,4,0
3661.74,8.205967,9,0,0
3664.95,8.206843,0,3,0
4186.42,8.33984,11,6,0
1542.27,7.341659,22,6,0
4360.74,8.380626,23,6,0
862.62,6.761133,1,2,0
1062.73,6.969537,17,2,0
4162.63,8.334143,1,3,0
3439.54,8.143384,16,0,0
3953.72,8.282665,20,5,0
516.14,6.248314,8,4,0
1069.35,6.975741,9,6,0
1951.61,7.576922,19,1,0
2084.95,7.64298,2,0,0
3204.04,8.07248,9,4,0
58.49,4.085808,18,5,0
3472.91,8.153036,21,0,0
1488.04,7.305887,0,2,0
774.15,6.653057,2,2,0
2346.77,7.761221,23,1,0
616.82,6.426197,14,4,0
2052.8,7.627447,19,6,0
4833.08,8.483446,16,2,0
4652.12,8.445293,13,2,0
2486.55,7.819054,13,5,0
3968.51,8.286398,10,3,0
29.32,3.411808,6,3,0
817.4,6.707351,2,2,0
1801.08,7.496697,23,1,0
740.67,6.608904,5,1,0
2700.55,7.901581,12,3,0
875.22,6.775617,19,2,0
3021.84,8.013952,15,0,0
3558.8,8.17746,4,4,0
442.85,6.095487,13,2,0
3836.6,8.252602,17,1,0
4707.89,8.457207,17,1,0
2069.71,7.635647,5,2,0
1022.13,6.930622,15,5,0
3916.07,8.273099,9,3,0
1977.93,7.590312,13,5,0
720.95,6.581956,1,2,0
1788.8,7.489859,18,5,0
3448.81,8.146074,2,1,0
3443.84,8.144633,18,0,0
493.08,6.202697,23,1,0
4372.58,8.383337,14,5,0
235.06,5.464086,10,5,0
1708.71,7.444079,20,1,0
3374.61,8.124331,16,3,0
2298.56,7.740473,14,5,0
2988.26,8.002781,1,5,0
2015.55,7.609143,1,5,0
1509.45,7.320163,5,0,0
4611.36,8.436495,19,1,0
222.74,5.410485,23,2,0
4298.25,8.366196,9,4,0
1007.32,6.916041,14,6,0
2166.21,7.681196,14,0,0
2522.34,7.833339,22,5,0
2282.71,7.733557,9,6,0
2377.94,7.77441,7,3,0
1081.21,6.986761,11,3,0
4152.22,8.331639,0,5,0
3947.26,8.28103,17,3,0
1370.1,7.223369,0,4,0
4922.69,8.501814,19,2,0
2356.42,7.765323,10,6,0
4527.03,8.418042,3,0,0
2006.0,7.604396,5,0,0
1923.78,7.562567,2,6,0
1209.88,7.099103,21,3,0
3558.24,8.177302,6,2,0
923.88,6.829664,14,4,0
4836.36,8.484124,4,4,0
3396.1,8.130677,10,5,0
2522.38,7.833355,12,0,0
433.94,6.075208,2,5,0
4975.64,8.51251,0,2,0
772.43,6.650835,11,6,0
814.27,6.703519,23,1,0
3016.19,8.012081,1,1,0
639.68,6.46253,13,2,0
3593.48,8.187155,14,4,0
3593.2,8.187077,20,2,0
785.79,6.667961,23,0,0
1404.77,7.24834,16,1,0
388.09,5.963811,2,3,0
4469.05,8.405155,13,3,0
3084.23,8.034381,14,5,0
3268.77,8.092475,6,2,0
4443.7,8.399468,4,1,0
3773.79,8.2361,14,4,0
2525.84,7.834725,12,3,0
2827.55,7.947519,20,3,0
1019.46,6.928009,0,1,0
1476.27,7.297951,6,3,0
1871.58,7.535072,19,6,0
1290.73,7.163738,14,3,0
3904.09,8.270036,2,2,0
303.11,5.717389,15,0,0
1445.21,7.276702,13,6,0
2797.59,7.936871,18,5,0
4820.74,8.48089,20,4,0
4676.86,8.450596,2,2,0
2131.67,7.66513,14,4,0
4593.26,8.432563,6,5,0
2964.31,7.994737,13,2,0
4452.56,8.401459,23,1,0
1064.75,6.971434,22,4,0
1950.97,7.576594,5,2,0
3033.38,8.017762,13,2,0
4579.91,8.429653,7,2,0
4463.06,8.403814,4,3,0
4824.21,8.48161,12,4,0
1606.55,7.382467,0,6,0
3050.67,8.023444,4,0,0
3465.81,8.15099,2,2,0
1629.28,7.396507,15,3,0
3806.2,8.244649,5,2,0
3506.76,8.162733,3,3,0
1893.07,7.546483,3,4,0
3022.31,8.014108,3,2,0
1649.57,7.408876,12,0,0
2735.8,7.914545,16,3,0
602.35,6.402497,10,4,0
3214.15,8.075629,5,6,0
3732.15,8.225008,21,1,0
1705.68,7.442305,19,1,0
3354.2,8.118267,17,0,0
1155.19,7.052885,2,1,0
22.08,3.138966,14,1,0
2545.43,7.842448,1,0,0
3173.84,8.063013,2,0,0
2458.68,7.807787,15,5,0
331.2,5.805737,12,3,0
3947.38,8.281061,1,6,0
768.44,6.645663,9,2,0
3277.91,8.095266,13,6,0
4385.78,8.386351,16,3,0
4195.53,8.342013,7,6,0
2596.94,7.862474,6,3,0
4411.72,8.392247,20,0,0
1796.39,7.494091,17,4,0
1282.88,7.157642,0,1,0
1812.72,7.503135,2,3,0
2105.09,7.652588,16,6,0
180.77,5.202742,23,4,0
68.85,4.24635,10,6,0
194.61,5.276123,20,0,0
4100.37,8.319076,18,5,0
3246.92,8.08577,20,5,0
3411.73,8.135268,11,5,0
3342.67,8.114824,21,6,0
620.53,6.432184,22,2,0
1986.08,7.594422,8,0,0
3427.7,8.139936,7,3,0
4954.15,8.508183,6,0,0
2282.14,7.733307,10,4,0
1489.88,7.307122,22,6,0
65.35,4.194944,5,5,0
1919.7,7.560445,8,5,0
2189.78,7.692013,20,2,0
3666.78,8.207342,7,1,0
4315.43,8.370184,21,3,0
3651.59,8.203192,8,6,0
1703.8,7.441203,18,5,1
4248.1,8.354462,1,5,1
1706.64,7.442868,22,1,0
2444.96,7.802193,5,0,0
2945.76,7.988462,5,0,0
4971.31,8.51164,21,0,0
2805.81,7.939804,11,3,0
4271.92,8.360053,20,6,0
3715.22,8.220462,5,2,0
4240.22,8.352606,16,0,0
582.83,6.36961,2,3,0
38.88,3.685875,22,3,0
4906.35,8.498489,8,5,0
372.55,5.923052,16,1,0
1650.68,7.409548,16,6,0
300.25,5.70794,12,1,0
967.46,6.875707,22,4,0
2051.75,7.626936,20,3,0
1641.32,7.403865,1,6,1
407.51,6.012516,9,1,0
2960.27,7.993374,22,4,0
3128.51,8.048632,8,0,0
1463.83,7.289494,10,5,0
2587.29,7.858753,8,2,0
165.69,5.116136,19,0,0
1408.59,7.251054,10,0,0
4398.94,8.389346,2,6,0
3365.82,8.121724,5,2,0
547.72,6.307588,13,2,0
3403.92,8.132977,16,4,0
4160.09,8.333532,0,3,0
3146.9,8.054491,1,5,0
4778.31,8.472051,0,5,0
2890.29,7.969458,1,6,0
4230.17,8.350234,5,4,0
3387.78,8.128225,0,1,0
2837.46,7.951017,2,5,0
1956.96,7.579658,21,5,0
2798.04,7.937032,6,2,0
1774.01,7.481561,9,5,0
1232.42,7.117546,21,0,0
473.7,6.162683,0,2,0
1265.07,7.143673,10,3,0
3726.83,8.223582,14,2,0
1650.29,7.409312,18,3,0
4125.33,8.325144,8,6,0
3506.49,8.162656,16,3,0
604.3,6.405724,14,2,0
984.71,6.893362,7,2,0
4541.36,8.421202,5,1,0
4127.8,8.325742,15,0,0
1074.36,6.980411,22,4,0
3305.73,8.103715,20,3,0
2790.95,7.934496,14,6,0
3145.56,8.054065,17,4,0
4116.82,8.323079,20,0,0
670.64,6.509722,0,0,0
1417.05,7.257038,20,3,0
3699.99,8.216356,2,4,0
1805.95,7.499396,11,6,0
2003.64,7.60322,12,5,0
338.18,5.826531,19,2,0
3069.16,8.029485,23,4,0
1809.94,7.501601,0,6,0
3660.29,8.205571,14,1,0
4228.23,8.349775,13,4,0
996.58,6.905332,7,6,0
979.4,6.887961,22,6,0
4310.64,8.369074,11,2,0
1841.08,7.518651,20,4,0
965.29,6.873464,2,3,0
2347.86,7.761685,13,4,0
1289.36,7.162677,8,1,0
1176.73,7.071344,21,1,0
3503.11,8.161692,6,0,0
1730.85,7.456945,17,5,0
4429.98,8.396376,19,1,0
565.41,6.339318,9,2,0
704.9,6.559474,19,0,0
1544.68,7.343219,7,0,0
732.16,6.597364,18,6,0
3015.08,8.011713,4,4,0
1307.15,7.176369,2,2,0
1834.32,7.514974,21,6,0
2454.34,7.806021,2,1,0
1392.09,7.23928,6,5,0
4815.35,8.479772,17,3,0
3513.45,8.164638,17,0,0
724.56,6.586944,20,2,0
1820.34,7.507328,8,0,0
964.78,6.872936,6,5,0
4186.42,8.33984,4,3,0
4305.23,8.367818,13,4,0
3397.65,8.131134,16,6,0
4603.97,8.434891,6,0,0
2125.83,7.662388,14,3,0
1741.04,7.462812,20,0,0
2902.39,7.973634,20,6,0
4259.96,8.35725,3,6,0
2887.65,7.968545,18,0,0
740.58,6.608783,8,6,0
2121.28,7.660246,17,2,0
3524.33,8.167729,21,4,0
3857.24,8.257966,17,3,0
716.93,6.576372,13,5,0
1693.43,7.435102,10,2,0
4862.44,8.489501,15,5,0
2783.65,7.931877,7,6,0
2785.32,7.932477,16,6,0
4678.38,8.450921,3,4,0
3879.7,8.263771,16,2,0
746.71,6.617015,1,3,0
520.72,6.257131,16,6,0
3513.39,8.164621,1,4,0
4734.11,8.46276,3,5,0
3303.14,8.102932,11,4,0
4979.6,8.513306,22,2,0
2505.91,7.826806,5,6,0
4930.26,8.50335,5,2,0
2793.96,7.935573,18,0,0
4912.62,8.499766,21,2,0
729.64,6.593921,19,3,0
2130.43,7.664548,7,0,0
2094.02,7.647318,16,1,0
928.58,6.834733,5,6,0
1594.15,7.374723,23,4,0
3002.5,8.007534,5,4,0
3744.54,8.228321,17,6,0
1491.33,7.308094,2,5,0
281.18,5.642545,18,6,1
2955.28,7.991687,6,1,0
82.0,4.418841,8,4,0
3886.43,8.265504,8,0,0
2513.33,7.829762,3,3,0
4517.78,8.415997,20,6,0
3621.27,8.194856,22,1,0
4422.71,8.394734,1,1,0
581.79,6.367827,23,1,0
899.87,6.803361,8,2,0
3237.7,8.082927,12,2,0
1569.25,7.35899,6,4,0
282.62,5.647635,16,2,0
1487.26,7.305363,15,0,0
2537.67,7.839396,10,3,0
3890.85,8.26664,4,6,0
2932.28,7.983877,14,3,0
1243.23,7.126272,7,4,0
117.1,4.771532,0,0,0
3957.22,8.28355,15,2,0
1511.63,7.321605,12,4,0
574.35,6.354979,23,6,0
2269.92,7.72794,8,1,0
1751.23,7.468645,7,3,0
770.07,6.647779,20,6,0
3986.28,8.290865,5,5,0
126.1,4.844974,7,1,0
1688.19,7.432004,6,0,0
2775.13,7.928813,14,6,0
4610.03,8.436207,3,5,0
4277.16,8.361278,10,1,0
3584.64,8.184692,0,2,0
3588.5,8.185768,21,2,0
2370.24,7.771168,0,6,0
2740.4,7.916224,17,1,0
2107.38,7.653675,2,5,0
4655.62,8.446045,11,5,0
1409.44,7.251657,23,4,0
2195.59,7.694661,22,6,0
3103.56,8.040627,7,1,0
2755.44,7.921695,4,6,0
1194.12,7.086002,14,4,0
824.41,6.71588,14,3,0
2287.14,7.735495,20,5,0
774.53,6.653547,6,3,0
2330.25,7.75416,5,2,0
3747.26,8.229047,0,6,0
4233.04,8.350912,15,4,0
3457.83,8.148686,23,1,0
1726.8,7.454604,20,3,0
3126.8,8.048085,21,0,0
3047.66,8.022457,4,6,1
3449.36,8.146234,15,2,0
833.04,6.726281,2,3,0
248.65,5.52006,1,4,0
1638.6,7.402208,2,2,0
327.46,5.794415,5,0,0
97.25,4.587515,10,1,0
1443.1,7.275242,1,6,0
4640.59,8.442812,12,0,0
2469.63,7.812228,15,6,0
572.08,6.351025,6,3,0
1845.36,7.520971,22,5,0
1509.3,7.320064,4,1,0
1650.3,7.409318,6,6,0
999.14,6.907895,22,1,0
4157.23,8.332845,1,5,0
2352.91,7.763833,6,3,0
3568.87,8.180284,11,5,0
3390.19,8.128936,0,5,0
4729.42,8.461769,1,2,0
2152.93,7.675049,1,3,0
3596.87,8.188097,23,1,0
3289.01,8.098646,15,0,0
2016.55,7.609639,5,3,0
4063.63,8.310078,2,2,0
2055.05,7.628542,4,3,0
694.88,6.545177,2,0,0
1585.62,7.369361,4,6,0
4561.25,8.425571,1,3,0
4224.27,8.348838,19,3,0
2988.96,8.003015,19,1,0
814.35,6.703617,13,5,0
3129.08,8.048814,23,0,0
1267.8,7.145827,15,0,0
3799.67,8.242933,7,2,0
3433.05,8.141496,20,4,0
2729.2,7.91213,1,0,0
4686.29,8.45261,23,1,0
1901.04,7.550682,14,2,0
164.15,5.106854,21,6,0
